Time,Euler_x,Euler_y,Euler_z,Grav_x,Grav_y,Grav_z,LinAcc_x,LinAcc_y,LinAcc_z,Control_Setpoint
2638,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.01,-0.21,0.00
2649,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.01,-0.20,0.00
2660,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.22,0.00
2675,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.16,0.00
2687,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.01,-0.21,0.00
2699,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.20,0.00
2715,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.02,-0.19,0.00
2727,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.00,0.02,-0.24,0.00
2739,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.04,-0.22,0.00
2750,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.21,0.00
2765,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.02,-0.20,0.00
2778,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.05,-0.21,0.00
2789,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.20,0.00
2802,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.02,0.00,-0.22,0.00
2815,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.02,-0.18,0.00
2828,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.05,-0.01,-0.25,0.00
2839,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,-0.02,-0.20,0.00
2850,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.03,0.00,-0.22,0.00
2861,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.00,-0.20,0.00
2876,359.62,-3.75,4.00,-0.65,-0.68,9.76,0.01,0.03,-0.21,0.00
